filename,x1,y1,x2,y2,skew,width,height,abs_skew
v1_391,332,368,2488,4188,0.10669592790226687,2156,3820,0.10669592790226687
v1_392,420,384,2564,4196,0.0,2144,3812,0.0
v1_393,320,348,2484,4160,-0.10729534183010514,2164,3812,0.10729534183010514
v1_394,392,332,2552,4160,0.21339111581555262,2160,3828,0.21339111581555262
v1_395,288,320,2444,4148,-0.3224869107528253,2156,3828,0.3224869107528253
v1_396,416,324,2588,4176,-0.3237015249202234,2172,3852,0.3237015249202234
v1_397,304,336,2460,4168,-0.6486037588909803,2156,3832,0.6486037588909803
v1_398,428,344,2580,4164,0.10729534183010514,2152,3820,0.10729534183010514
v1_399,284,360,2460,4180,-0.3188971495661537,2176,3820,0.3188971495661537
v1_400,424,360,2592,4184,0.0,2168,3824,0.0
v1_401,280,328,2464,4168,-0.2153966526070763,2184,3840,0.2153966526070763
v1_402,424,292,2596,4180,0.5324733271882043,2172,3888,0.5324733271882043
v1_403,292,368,2456,4208,-0.10610317410621432,2164,3840,0.10610317410621432
v1_404,424,376,2584,4204,-0.4283716780263857,2160,3828,0.4283716780263857
v1_405,304,352,2448,4224,-0.10709479025685696,2144,3872,0.10709479025685696
v1_406,420,364,2596,4208,0.10551697005352624,2176,3844,0.10551697005352624
v1_407,304,352,2444,4176,0.0,2140,3824,0.0
v1_408,444,352,2584,4188,0.0,2140,3836,0.0
v1_409,280,316,2440,4188,0.4324127675376865,2160,3872,0.4324127675376865
v1_410,412,332,2596,4184,-0.21661817211099346,2184,3852,0.21661817211099346
v1_411,244,352,2400,4168,-0.10669592790226687,2156,3816,0.10669592790226687
v1_412,480,340,2628,4168,0.0,2148,3828,0.0
v1_413,260,372,2404,4188,0.0,2144,3816,0.0
v1_414,468,340,2632,4184,0.5324733271882043,2164,3844,0.5324733271882043
v1_415,240,356,2384,4176,-0.10729534183010514,2144,3820,0.10729534183010514
v1_416,476,300,2616,4188,0.10729534183010514,2140,3888,0.10729534183010514
v1_417,264,364,2400,4192,-0.10749664593944575,2136,3828,0.10749664593944575
v1_418,460,352,2620,4188,0.0,2160,3836,0.0
v1_419,296,400,2440,4260,-0.1079015287727894,2144,3860,0.1079015287727894
v1_420,428,400,2592,4220,0.21299448171142213,2164,3820,0.21299448171142213
v1_421,304,368,2444,4204,0.10729534183010514,2140,3836,0.10729534183010514
v1_422,416,344,2576,4180,-0.32068198450072205,2160,3836,0.32068198450072205
v1_423,288,416,2448,4236,-0.21339111581555262,2160,3820,0.21339111581555262
v1_424,432,400,2580,4228,-0.3218830153987252,2148,3828,0.3218830153987252
v1_425,292,348,2472,4164,0.0,2180,3816,0.0
v1_426,408,336,2544,4192,0.0,2136,3856,0.0
v1_427,304,356,2460,4180,-0.10810511608020344,2156,3824,0.10810511608020344
v1_430,368,388,2532,4228,-0.10649760879088205,2164,3840,0.10649760879088205
v1_431,316,372,2468,4192,-0.2580873513361871,2152,3820,0.2580873513361871
v1_432,420,376,2564,4196,0.3696450618470238,2144,3820,0.3696450618470238
v1_433,300,364,2484,4176,-0.6377745426446838,2184,3812,0.6377745426446838
v1_434,404,384,2576,4180,0.21220562048812266,2172,3796,0.21220562048812266
v1_437,284,360,2440,4212,-0.42917384220227756,2156,3852,0.42917384220227756
v1_438,440,368,2592,4168,0.2141888321947865,2152,3800,0.2141888321947865
v1_439,248,404,2412,4224,-0.21580229218789956,2164,3820,0.21580229218789956
v1_440,448,372,2624,4192,-0.678024910751301,2176,3820,0.678024910751301
v1_441,268,344,2424,4132,-0.2141888321947865,2156,3788,0.2141888321947865
v1_444,456,340,2604,4172,0.0,2148,3832,0.0
v1_445,276,400,2432,4220,-0.4283716780263857,2156,3820,0.4283716780263857
v1_446,444,428,2600,4260,0.0,2156,3832,0.0
v1_447,252,328,2436,4152,-0.42440541936147536,2184,3824,0.42440541936147536
v1_448,468,364,2608,4176,0.0,2140,3812,0.0
v1_449,264,396,2420,4216,-0.21458993112939587,2156,3820,0.21458993112939587
v1_452,480,340,2620,4172,0.0,2140,3832,0.0
v1_453,272,396,2440,4240,0.4275725068334077,2168,3844,0.4275725068334077
v1_454,452,392,2616,4240,-0.7510252550748214,2164,3848,0.7510252550748214
v1_455,296,348,2448,4176,-0.21458993112939587,2152,3828,0.21458993112939587
v1_458,472,380,2612,4224,0.0,2140,3844,0.0
v1_459,280,384,2472,4244,0.31654804727300767,2192,3860,0.31654804727300767
v1_460,432,384,2584,4248,-0.3212813775262338,2152,3864,0.3212813775262338
v1_461,244,336,2404,4164,-0.21339111581555262,2160,3828,0.21339111581555262
v1_464,440,376,2608,4208,0.2149925351045221,2168,3832,0.2149925351045221
v1_465,308,304,2480,4124,-0.42677631190400894,2172,3820,0.42677631190400894
v1_466,392,308,2608,4140,0.7385787132107391,2216,3832,0.7385787132107391
v1_467,272,352,2448,4192,0.3188971495661537,2176,3840,0.3188971495661537
v1_468,440,332,2596,4204,0.0,2156,3872,0.0
v1_469,320,388,2460,4240,0.10729534183010514,2140,3852,0.10729534183010514
v1_470,432,372,2576,4188,0.0,2144,3816,0.0
v1_473,288,392,2432,4220,-0.10729534183010514,2144,3828,0.10729534183010514
v1_474,424,352,2628,4204,0.6354169746100894,2204,3852,0.6354169746100894
v1_475,308,376,2456,4196,-0.2149925351045221,2148,3820,0.2149925351045221
v1_476,432,380,2572,4224,-0.3218830153987252,2140,3844,0.3218830153987252
v1_477,264,352,2412,4172,0.0,2148,3820,0.0
v1_478,460,364,2596,4196,0.10749664593944575,2136,3832,0.10749664593944575
v1_479,288,388,2440,4192,0.0,2152,3804,0.0
v1_482,408,344,2576,4164,-0.10709479025685696,2168,3820,0.10709479025685696
v1_483,256,348,2416,4248,-0.6473823869418766,2160,3900,0.6473823869418766
v1_484,480,380,2632,4228,0.2141888321947865,2152,3848,0.2141888321947865
v1_485,244,308,2392,4156,0.10749664593944575,2148,3848,0.10749664593944575
v1_486,420,296,2608,4168,-0.6377745426446838,2188,3872,0.6377745426446838
v1_487,252,400,2428,4244,-0.3188971495661537,2176,3844,0.3188971495661537
v1_488,452,412,2612,4256,-0.10649760879088205,2160,3844,0.10649760879088205
v1_489,240,280,2404,4140,0.7482232412190135,2164,3860,0.7482232412190135
v1_490,448,336,2612,4172,-0.4275725068334077,2164,3836,0.4275725068334077
v1_491,256,304,2400,4140,0.0,2144,3836,0.0
v1_492,448,296,2608,4096,0.3243122694813281,2160,3800,0.3243122694813281
v1_493,276,416,2412,4232,0.0,2136,3816,0.0
v1_494,460,412,2604,4240,-0.3224869107528253,2144,3828,0.3224869107528253
v1_495,240,308,2404,4128,-0.21299448171142213,2164,3820,0.21299448171142213
v1_496,452,320,2620,4136,0.0,2168,3816,0.0
v1_497,284,424,2424,4252,0.0,2140,3828,0.0
v1_498,480,416,2620,4232,-0.10749664593944575,2140,3816,0.10749664593944575
v1_499,304,376,2500,4252,-0.7468300598124166,2196,3876,0.7468300598124166
v1_500,404,392,2580,4224,0.5344600529232296,2176,3832,0.5344600529232296
v1_501,300,292,2484,4152,0.21339111581555262,2184,3860,0.21339111581555262
v1_502,380,316,2548,4148,0.4275725068334077,2168,3832,0.4275725068334077
v1_503,296,388,2456,4224,-0.5394923373943489,2160,3836,0.5394923373943489
v1_504,424,392,2568,4232,0.10709479025685696,2144,3840,0.10709479025685696
v1_505,284,300,2452,4128,0.10610317410621432,2168,3828,0.10610317410621432
v1_506,412,312,2552,4140,-0.10749664593944575,2140,3828,0.10749664593944575
v1_509,272,404,2440,4228,-0.21259931932763687,2168,3824,0.21259931932763687
v1_510,440,412,2600,4232,0.42917384220227756,2160,3820,0.42917384220227756
v1_512,424,292,2576,4112,0.21458993112939587,2152,3820,0.21458993112939587
v1_513,292,392,2448,4224,0.21580229218789956,2156,3832,0.21580229218789956
v1_514,456,376,2596,4224,-0.2149925351045221,2140,3848,0.2149925351045221
v1_515,268,364,2424,4232,-0.32068198450072205,2156,3868,0.32068198450072205
v1_516,476,356,2624,4184,0.10729534183010514,2148,3828,0.10729534183010514
v1_517,260,368,2432,4232,0.0,2172,3864,0.0
v1_518,412,344,2584,4200,-0.42677631190400894,2172,3856,0.42677631190400894
v1_519,288,388,2432,4224,-0.10769870682848337,2144,3836,0.10769870682848337
v1_520,464,380,2608,4208,-0.10709479025685696,2144,3828,0.10709479025685696
v1_521,252,360,2420,4200,0.0,2168,3840,0.0
v1_522,444,340,2588,4188,0.10729534183010514,2144,3848,0.10729534183010514
v1_523,308,320,2456,4168,-0.42917384220227756,2148,3848,0.42917384220227756
v1_524,376,304,2536,4144,0.3218830153987252,2160,3840,0.3218830153987252
v1_525,332,340,2488,4160,-0.3224869107528253,2156,3820,0.3224869107528253
v1_526,392,356,2548,4196,0.10649760879088205,2156,3840,0.10649760879088205
v1_527,300,368,2444,4192,-0.10729534183010514,2144,3824,0.10729534183010514
v1_529,348,384,2492,4192,-0.10769870682848337,2144,3808,0.10769870682848337
v1_530,408,364,2564,4188,0.0,2156,3824,0.0
v1_531,268,356,2440,4220,-0.42917384220227756,2172,3864,0.42917384220227756
v1_532,464,376,2636,4192,0.3194898829217858,2172,3816,0.3194898829217858
v1_533,232,360,2440,4220,-0.5275705362958101,2208,3860,0.5275705362958101
v1_534,432,360,2588,4188,0.3212813775262338,2156,3828,0.3212813775262338
v1_535,264,368,2404,4192,0.0,2140,3824,0.0
v1_536,488,348,2628,4184,0.10729534183010514,2140,3836,0.10729534183010514
