filename,x1_before,x1_after,y1_before,y1_after,x2_before,x2_after,y2_before,y2_after,width_before,width_after,height_before,height_after,skew_before,skew_after,abs_skew_before,abs_skew_after,delta_x1,delta_y1,delta_x2,delta_y2,delta_width,delta_height,delta_skew,delta_abs_skew,abs_delta_skew
v1_688,416,444,412,408,2588,2612,4244,4244,2172,2168,3832,3836,0.54,0.75,0.54,0.75,28,-4,24,0,-4,4,0.21,0.21,0.21
v1_689,248,276,312,308,2432,2456,4140,4140,2184,2180,3828,3832,-1.07,-1.07,1.07,1.07,28,-4,24,0,-4,4,-0.00,0.00,0.00
v1_690,392,420,260,268,2584,2608,4092,4096,2192,2188,3832,3828,0.96,0.86,0.96,0.86,28,8,24,4,-4,-4,-0.11,-0.11,0.11
v1_693,296,320,440,440,2444,2464,4304,4308,2148,2144,3864,3868,0.00,-0.11,0.00,0.11,24,0,20,4,-4,4,-0.11,0.11,0.11
v1_694,448,472,468,464,2600,2624,4296,4300,2152,2152,3828,3836,0.11,0.11,0.11,0.11,24,-4,24,4,0,8,0.00,0.00,0.00
v1_695,236,260,276,272,2420,2440,4144,4144,2184,2180,3868,3872,0.75,0.00,0.75,0.00,24,-4,20,0,-4,4,-0.75,-0.75,0.75
v1_696,456,476,304,292,2636,2652,4184,4180,2180,2176,3880,3888,-0.54,-0.64,0.54,0.64,20,-12,16,-4,-4,8,-0.11,0.11,0.11
v1_697,240,272,328,328,2436,2452,4172,4176,2196,2180,3844,3848,0.48,0.60,0.48,0.60,32,0,16,4,-16,4,0.12,0.12,0.12
v1_698,460,484,392,392,2612,2632,4228,4228,2152,2148,3836,3836,0.11,-0.32,0.11,0.32,24,0,20,0,-4,0,-0.43,0.21,0.21
v1_699,244,244,364,360,2396,2412,4196,4196,2152,2168,3832,3836,0.00,0.00,0.00,0.00,0,-4,16,0,16,4,0.00,0.00,0.00
v1_702,452,484,332,336,2604,2624,4180,4180,2152,2140,3848,3844,0.11,0.00,0.11,0.00,32,4,20,0,-12,-4,-0.11,-0.11,0.11
v1_703,220,240,380,380,2396,2416,4256,4260,2176,2176,3876,3880,1.18,1.29,1.18,1.29,20,0,20,4,0,4,0.11,0.11,0.11
v1_704,464,504,352,368,2664,2680,4220,4224,2200,2176,3868,3856,-0.85,-0.54,0.85,0.54,40,16,16,4,-24,-12,0.32,-0.32,0.32
v1_705,204,228,372,380,2392,2408,4208,4204,2188,2180,3836,3824,0.85,0.85,0.85,0.85,24,8,16,-4,-8,-12,0.00,0.00,0.00
v1_706,464,484,328,332,2632,2656,4176,4176,2168,2172,3848,3844,-0.54,-0.54,0.54,0.54,20,4,24,0,4,-4,0.00,0.00,0.00
v1_710,388,432,324,336,2636,2636,4168,4168,2248,2204,3844,3832,1.38,1.07,1.38,1.07,44,12,0,0,-44,-12,-0.30,-0.30,0.30
